Çin,1359250000,,Kaynak:,http://tr.wikipedia.org/wiki/N%C3%BCfuslar%C4%B1na_g%C3%B6re_%C3%BClkeler_listesi
Hindistan,1232320000,,,
Amerika Birleşik Devletleri,316418000,,,
Endonezya,237641326,,,
Brezilya,193946886,,,
Pakistan,183903000,,,
Nijerya,173615000,,,
Bangladeş,152518015,,,
Rusya,143400000,,,
Japonya,127350000,,,
Meksika,117409830,,,
Filipinler,98176000,,,
Vietnam,88780000,,,
Etiyopya,86613986,,,
Mısır,83661000,,,
Almanya,80493000,,,
İran,76807000,,,
Türkiye,76667864,,,
Demokratik Kongo Cumhuriyeti,67514000,,,
Tayland,65926261,,,
Fransa,65707000,,,
Birleşik Krallık,63181775,,,
İtalya,59704082,,,
Myanmar,53259000,,,
Güney Afrika,52981991,,,
Güney Kore,50219669,,,
Kolombiya,47181000,,,
İspanya,47059533,,,
Ukrayna,45480315,,,
Tanzanya,44928923,,,
Kenya,44354000,,,
Arjantin,40117096,,,
Polonya,38533299,,,
Sudan,37964000,,,
Cezayir,37900000,,,
Irak,35404000,,,
Kanada,35141542,,,
Uganda,34131400,,,
Fas,32987800,,,
Peru,30475144,,,
Malezya,29784600,,,
Özbekistan,29559100,,,
Suudi Arabistan,29195895,,,
Venezuela,28946101,,,
Nepal,26494504,,,
Afganistan,25500100,,,
Kuzey Kore,24895000,,,
Gana,24658823,,,
Yemen,24527000,,,
Mozambik,23700715,,,
Tayvan,23344213,,,
Fildişi Sahili,23202000,,,
Avustralya,23111910,,,
Suriye,21377000,,,
Madagaskar,20696070,,,
Angola,20609294,,,
Kamerun,20386799,,,
Sri Lanka,20277597,,,
Romanya,20121641,,,
Burkina Faso,17322796,,,
Nijer,17129076,,,
Kazakistan,17028000,,,
Hollanda,16795200,,,
Şili,16634603,,,
Ekvador,15547000,,,
Guatemala,15438384,,,
Mali,15302000,,,
Kamboçya,15135000,,,
Malavi,14388600,,,
Senegal,13567338,,,
Zambiya,13092666,,,
Zimbabve,12973808,,,
Çad,12825000,,,
Güney Sudan,11296000,,,
Küba,11163934,,,
Belçika,11156136,,,
Gine,10824200,,,
Yunanistan,10815197,,,
Tunus,10777500,,,
Portekiz,10562178,,,
Ruanda,10537222,,,
Çek Cumhuriyeti,10512800,,,
Somali,10496000,,,
Haiti,10413211,,,
Benin,10323000,,,
Burundi,10163000,,,
Bolivya,10027254,,,
Macaristan,9906000,,,
İsveç,9588569,,,
Beyaz Rusya,9459800,,,
Dominik Cumhuriyeti,9445281,,,
Azerbaycan,9235100,,,
Avusturya,8464554,,,
Honduras,8385072,,,
Birleşik Arap Emirlikleri,8264070,,,
İsviçre,8058100,,,
İsrail,8051200,,,
Tacikistan,8000000,,,
Bulgaristan,7282041,,,
Sırbistan,7241295,,,
Hong Kong,7173900,,,
Papua Yeni Gine,7059653,,,
Paraguay,6672631,,,
Laos,6580800,,,
Ürdün,6473600,,,
Eritre,6333000,,,
Libya,6202000,,,
Togo,6191155,,,
Sierra Leone,6190280,,,
El Salvador,6183000,,,
Nikaragua,6071045,,,
Danimarka,5605836,,,
Kırgızistan,5551900,,,
Finlandiya,5434357,,,
Slovakya,5410728,,,
Singapur,5310000,,,
Türkmenistan,5240000,,,
Norveç,5063709,,,
Lübnan,4822000,,,
Kosta Rika,4667096,,,
Orta Afrika Cumhuriyeti,4616000,,,
İrlanda,4585400,,,
Gürcistan,4483800,,,
Yeni Zelanda,4472390,,,
Kongo Cumhuriyeti,4448000,,,
Filistin,4420549,,,
Liberya,4294000,,,
Hırvatistan,4290612,,,
Bosna Hersek,3839737,,,
Umman,3831553,,,
Porto Riko,3667084,,,
Kuveyt,3582054,,,
Moldova,3559500,,,
Moritanya,3461041,,,
Panama,3405813,,,
Uruguay,3286314,,,
Ermenistan,3024100,,,
Litvanya,2955986,,,
Arnavutluk,2821977,,,
Moğolistan,2754685,,,
Jamaika,2711476,,,
Namibya,2113077,,,
Lesotho,2074000,,,
Slovenya,2060589,,,
Makedonya,2059794,,,
Botsvana,2024904,,,
Letonya,2013400,,,
Katar,1916426,,,
Gambiya,1849000,,,
Gine Bissau,1704000,,,
Gabon,1672000,,,
Ekvator Ginesi,1622000,,,
Togo,1328019,,,
Estonya,1286540,,,
Mauritius,1257900,,,
Svaziland,1250000,,,
Bahreyn,1234571,,,
Doğu Timor,1066409,,,
Cibuti,864618,,,
Kıbrıs Rum Kesimi,862000,,,
Fiji,858038,,,
Réunion (Fransa),821136,,,
Guyana,784894,,,
Bhutan,737320,,,
Komorlar,724300,,,
Karadağ,620029,,,
Makao,582000,,,
Batı Sahra,567000,,,
Solomon Adaları,561000,,,
Lüksemburg,537000,,,
Surinam,534189,,,
Yeşil Burun Adaları,491875,,,
Malta,416055,,,
Guadeloupe (Fransa),403355,,,
Martinique (Fransa),394173,,,
Brunei,393162,,,
Bahamalar,351461,,,
İzlanda,323810,,,
Maldivler,317280,,,
Belize,312971,,,
Barbados,274200,,,
Fransız Polinezyası (Fransa),268270,,,
Vanuatu,264652,,,
Yeni Kaledonya,258958,,,
Fransız Guyanası,229040,,,
Mayotte (Fransa),212600,,,
Samoa,187820,,,
São Tomé ve Príncipe,187356,,,
Saint Lucia,166526,,,
Guam (ABD),159358,,,
Curaçao (Hollanda),150563,,,
Saint Vincent ve Grenadinler,109000,,,
Kiribati,106461,,,
ABD Virjin Adaları (ABD),106405,,,
Grenada,103328,,,
Tonga,103036,,,
Aruba (Hollanda),101484,,,
Mikronezya Federal Devletleri,101351,,,
Jersey (UK),97857,,,
Seyşeller,90945,,,
Antigua ve Barbuda,86295,,,
Man Adası (UK),84497,,,
Andorra,76246,,,
Dominika,71293,,,
Bermuda (UK),64237,,,
Guernsey (UK),62431,,,
Grönland,56370,,,
Marshall Adaları,56086,,,
Amerikan Samoası (ABD),55519,,,
Cayman Adaları (UK),55456,,,
Saint Kitts ve Nevis,54000,,,
Kuzey Mariana Adaları (ABD),53883,,,
Faroe Adaları (Danimarka),48244,,,
Sint Maarten (Hollanda),37429,,,
Saint Martin (Fransa) (Fransa),36979,,,
Lihtenştayn,36842,,,
Monako,36136,,,
San Marino,32382,,,
Turks ve Caicos Adaları (UK),31458,,,
Cebelitarık (UK),29752,,,
Britanya Virjin Adaları (UK),29537,,,
Åland (Finland),28502,,,
Hollanda Karayipleri (Hollanda),21133,,,
Palau,20901,,,
Cook Adaları (NZ),14974,,,
Anguilla (UK),13452,,,
Wallis ve Futuna (Fransa),13135,,,
Tuvalu,11323,,,
Nauru,9945,,,
Saint Barthélemy (Fransa),8938,,,
Saint Pierre ve Miquelon (Fransa),6081,,,
Montserrat (UK),4922,,,
Saint Helena (UK),4000,,,
Svalbard ve Jan Mayen (Norveç),2655,,,
Falkland Adaları,2563,,,
Norfolk Adası (Avustralya),2302,,,
Christmas Adası (Avustralya),2072,,,
Niue (NZ),1613,,,
Tokelau (NZ),1411,,,
Vatikan,800,,,
Cocos Adaları (Avustralya),550,,,
Pitcairn Adaları (UK),66,,,
